"resource","consumer"
"Glyceridae","Bathyraja albomaculata"
"Griffithsia sp","Grimothea gregaria"
"Halicarcinus planatus","Cephalorhynchus commersonii"
"Halicarcinus planatus","Anasterias antarctica"
"Halicarcinus planatus","Eurypodius latreillii"
"Halicarcinus planatus","Pseudechinus magellanicus"
"Halicarcinus planatus","Xymenopsis muriciformis"
"Halicarcinus planatus","Patagonotothen cornucola"
"Halicarcinus planatus","Cottoperca trigloides"
"Halicarcinus planatus","Patagonotothen longipes"
"Halicarcinus planatus","Patagonotothen tessellata"
"Halicarcinus planatus","Patagonotothen brevicauda"
"Halicarcinus planatus","Asterina fimbriata"
"Halicarcinus planatus","Austrolycus depressiceps"
"Halicarcinus planatus","Cosmasterias lurida"
"Halicarcinus planatus","Eleginops maclovinus"
"Halicarcinus planatus","Lithodes santolla"
"Halicarcinus planatus","Thalassarche melanophris"
"Halopteris sp","Nacella deaurata"
"Halopteris sp","Nacella magellanica"
"Halopteris sp","Grimothea gregaria"
"Halopteris sp","Loxechinus albus"
"Harpagifer bispinis","Cottoperca trigloides"
"Harpagifer bispinis","Austrolycus depressiceps"
"Harpagifer bispinis","Spheniscus magellanicus"
"Hiatella arctica","Eurypodius latreillii"
"Hiatella arctica","Trophon geversianus"
"Hiatella arctica","Peltarion spinulosum"
"Hiatella arctica","Paralomis granulosa"
"Hiatella arctica","Lithodes santolla"
"Hincksia sp","Pseudechinus magellanicus"
"Hincksia sp","Grimothea gregaria"
"Holothuroidea","Dissostichus eleginoides"
"Holothuroidea","Genypterus blacodes"
"Holothuroidea","Merluccius hubbsi"
"Holothuroidea","Patagonotothen ramsayi"
"Holothuroidea","Salilota australis"
"Hydrozoa","Eurypodius latreillii"
"Hydrozoa","Pagurus comptus"
"Hydrozoa","Pseudechinus magellanicus"
"Hydrozoa","Grimothea gregaria"
"Hydrozoa","Patagonotothen cornucola"
"Hydrozoa","Ophiuroidea"
"Hydrozoa","Peltarion spinulosum"
"Hydrozoa","Genypterus blacodes"
"Hydrozoa","Patagonotothen tessellata"
"Hydrozoa","Loxechinus albus"
"Hydrozoa","Paralomis granulosa"
"Hydrozoa","Paranotothenia magellanica"
"Hydrozoa","Nereididae"
"Hydrozoa","Polynoidae"
"Hydrozoa","Lithodes santolla"
"Hydrozoa","Odontesthes nigricans"
"Hymenena sp","Grimothea gregaria"
"Hyperiidea","Polychaeta"
